Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,1676310877,1945835371,2308707373,2588749896,2691300679,2905605500,3076523500,3301346400,3572185600,3663174300,3706611800,3967812100,4046850300,4096952000,4409000000,4594000000,4550000000,4601000000,4936000000,4917000000,4973000000,5127000000,5221000000,4611000000,4485000000,4636000000,4588000000,4883000000,4882000000,5055000000,5162000000,5445000000,5731290241,5767685612,4695524779,5501864171
Africa Eastern and Southern,AFE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51799E+11,4.91703E+11,4.98656E+11,5.54654E+11,5.84369E+11,6.65165E+11,6.91273E+11,8.3914E+11,9.59661E+11,9.63753E+11,1.08665E+12,1.14751E+12,1.17878E+12,1.19589E+12,1.22292E+12,1.25529E+12,1.27022E+12,1.3199E+12,1.28887E+12,1.02159E+12
Africa Western and Central,AFW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,4.13871E+11,3.95661E+11,3.95661E+11,4.12278E+11,4.37015E+11,4.52311E+11,4.65428E+11,4.8443E+11,5.1412E+11,5.14334E+11,4.96589E+11,5.01512E+11,4.72232E+11,3.58975E+11,3.63783E+11,4.1835E+11,4.75013E+11,5.09567E+11,5.33471E+11,5.45109E+11,5.6176E+11,5.85388E+11,6.65385E+11,6.8528E+11,7.60318E+11,8.74594E+11,9.7561E+11,1.11229E+12,1.23654E+12,1.24717E+12,1.30778E+12,1.35316E+12,1.46872E+12,1.54142E+12,1.61572E+12,1.63091E+12,1.58883E+12,1.58645E+12,1.56557E+12,1.55461E+12,1.46755E+12,1.48369E+12
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,5.53264E+11,5.85052E+11,6.02303E+11,6.08958E+11,6.01337E+11,6.12044E+11,6.46547E+11,6.41453E+11,6.32344E+11,6.94545E+11,6.28038E+11,4.52174E+11,4.19676E+11,4.59794E+11,4.9797E+11,5.64311E+11,6.15664E+11,5.48433E+11,5.96857E+11,6.73796E+11,7.206E+11,7.80361E+11,8.15763E+11,8.60863E+11,9.08337E+11,9.58536E+11,1.01511E+12,1.07585E+12,1.15654E+12,1.19533E+12,1.23965E+12,1.2712E+12,1.28921E+12,1.30213E+12,1.32524E+12,1.35464E+12,1.39955E+12,1.45276E+12,1.51115E+12,1.54271E+12,1.489E+12,1.61579E+12
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,763613110.2,799117037.2,864243025.9,931554310.5,983896388.5,989231130.4,1021913220,1050920999,1066295975,1066739098,1090300459,1088856089,1102428257,1121942541,1141965700,1168475669,1206489943,1273415414,1338287349,1402886938,1455935530,1493003700,1506876900,1491333700,1526874900,1568978500,1641931900,1790816900,1848029800,1923782000,1991660000,2153370000,2251270000,2447000000,2646080000,2788910000,2923020000,2968420000,2803400000,2654740000,2602310000,2602100000,2472660000,2384940000,2444670000,2479730000,2571720000,2580620000,2621620000,2674460000,2375350000,2587930000
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,2.08623E+11,2.43101E+11,2.95221E+11,2.90528E+11,3.51316E+11,4.35192E+11,4.55469E+11,4.24864E+11,4.04701E+11,4.20958E+11,4.05827E+11,3.45122E+11,3.56794E+11,3.4745E+11,3.90318E+11,4.61856E+11,4.65828E+11,4.8141E+11,4.87481E+11,5.21099E+11,5.55949E+11,5.88186E+11,6.3636E+11,6.38218E+11,6.56741E+11,7.28015E+11,7.38201E+11,7.56164E+11,8.22711E+11,9.01415E+11,9.4518E+11,1.03816E+12,1.07122E+12,1.10541E+12,1.04746E+12,1.06424E+12,1.13798E+12,1.19234E+12,1.25262E+12,1.3048E+12,1.39335E+12,1.47084E+12,1.48165E+12,1.50112E+12,1.51776E+12,1.44252E+12,1.49902E+12
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,1.82932E+11,1.92861E+11,1.91218E+11,1.81068E+11,1.99411E+11,2.20487E+11,2.19032E+11,2.26024E+11,2.36924E+11,2.59857E+11,2.67771E+11,2.82922E+11,2.87529E+11,2.95614E+11,3.11973E+11,3.11884E+11,3.0559E+11,3.2678E+11,3.12054E+11,3.43955E+11,3.49179E+11,3.31057E+11,3.28622E+11,3.42914E+11,3.483E+11,3.30227E+11,3.50547E+11,3.60029E+11,3.56105E+11,3.30618E+11,3.22461E+11,3.51912E+11,3.79844E+11,4.11018E+11,4.35006E+11,4.22629E+11,4.45987E+11,4.82161E+11,5.00725E+11,4.83773E+11,4.79956E+11,4.58796E+11,4.08812E+11,4.44939E+11,4.85115E+11,5.28056E+11,5.70549E+11,6.21943E+11,6.47176E+11,6.08873E+11,6.70524E+11,7.10782E+11,7.03486E+11,7.20407E+11,7.02306E+11,7.21487E+11,7.06478E+11,7.2639E+11,7.07377E+11,6.93224E+11,6.24295E+11,6.89211E+11
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60744E+12,2.30237E+12,1.33998E+12,1.22206E+12,1.28805E+12,1.37693E+12,1.45769E+12,1.5061E+12,1.61605E+12,1.66937E+12,1.76787E+12,1.93758E+12,2.19334E+12,2.50041E+12,2.76296E+12,3.14701E+12,3.56241E+12,4.05046E+12,4.32994E+12,3.71942E+12,3.80125E+12,3.97991E+12,4.26646E+12,4.40725E+12,4.56591E+12,4.71202E+12,4.72145E+12,5.07556E+12,5.33949E+12,5.74529E+12,5.33163E+12,5.63553E+12
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000000,732000000,735000000,732000000,702000000,715000000,696000000,667000000,669000000,669000000,640000000,624000000,635000000,655000000,644000000,599000000,615000000,612000000,643000000,631000000
