"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025472682.25797","2186758474.1649","2315391347.72166","2484593044.8417","2688426605.77626","2756904694.34618","2789595753.48052","2986175079.02193","3045659222.21781","3083365757.75578","3318213058.37736","3457444044.043","3424329647.45225","3462712243.50061","3714833217.5438","3700533819.01598","3742679414.67693","3858579802.74454","3929324195.46114","3470238242.72578","3375410652.48865","3489053240.78871","3452928444.50789","3674945421.6504","3674192821.72789","3804392608.32332","3884920800.03264","4097906578.10494","4313368591.58443","4340759744.59004","3533851584.61232","4140702548.8166",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940931162571.601","941201610854.836","922952248606.505","918616451143.779","934924326875.038","976828015914.959","1030044468396.59","1074421233577.92","1094415827958.31","1124621428254","1163103813584.76","1205966652338.46","1253419737546.52","1294865545063.33","1368998508860.01","1455656085076.93","1553689252202.78","1659198714826.69","1735292496451.63","1747165889885.28","1839172094696.63","1913716036107.43","1958074171677.19","2040660971236.69","2126248366260.86","2195261084364.57","2252719595057.75","2315447211147.42","2379259690273.35","2434574329445.48","2367418086783.33","2472908677276.26",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054382.385","29265058689.4061","29678901146.3632","33011757107.8906","34780330056.488","39589169629.9389","41143038133.026","49943751386.6576","57116893447.1231","57360414055.1093","64675178730.6937","68297470348.5577","70158264544.684","71176481723.2911","72785293847.6716","74711922906.3738","75600418108.8303","78557606648.6734","76710638229.7132","60803041473.3408",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575568728950.093","582761893140.468","597165239278.849","590949584712.151","590497787614.758","603182102231.293","631571482175.182","658959262746","682520911763.637","693915352037.852","718955656761.972","756504962142.726","827345233620.512","872617076426.295","941149650941.207","995611100206.477","1049046947376.27","1105772477245.36","1174779921310.27","1245555458526.76","1330075753773.33","1395316742152.28","1468410186821.62","1557044294754.13","1647824277914.57","1693253660443.49","1700226687909.68","1744086806022.47","1798679597117.43","1859033422660.15","1845062573148.85","1919303550752.41",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68234262572.9096","68910709282.1078","64887508619.0263","49325266559.174","49985911144.4138","57483797830.5035","65269615957.9425","70017508851.0079","73302132732.5054","74901211221.4363","77189161771.1964","80435736800.832","91427834244.5352","94161526488.4468","104472213644.531","120174387345.433","134054529081.281","152835568617.106","169907301622.794","171368504420.408","179697013732.907","185932500111.876","201811135626.822","211800786835.41","222009584757.969","224096474853.328","218314785810.082","217987313632.157","215117920241.705","213612094804.74","201649817494.779","203867965487.221",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15867113973.4335","11423982241.888","10602927967.2535","11616505502.3","12581008457.3888","14257092339.3114","15554487661.8448","13855940085.7352","15079339751.6145","17023187829.3207","18205655326.8836","19715507239.7027","20609905988.9687","21749352972.9591","22948757562.2045","24217003264.497","25646450395.9177","27180944080.4031","29219526147.5532","30199633601.2044","31319115341.0988","32116314027.3945","32571480175.5435","32897852120.1716","33481607679.6494","34224472940.0714","35359007607.1813","36703437482.9334","38178680652.1847","38975875700.3802","37618879773.7974","40822315903.4888",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2153162889763.11","2208929672964.27","2316157018814.46","2377394244309.12","2445105389730.4","2512251828835.67","2627769070432.54","2743483341053.34","2885568281047.05","2941631240866.79","3129608338742.35","3182962546351.16","3200472375897.09","3357600052080.68","3643530706358.96","3842884194169.61","4064664710055.92","4248868183723.46","4485632670213.08","4506838828792.11","4713943429627.67","4864654527453.94","5142870906526.2","5277892493163.64","5441140958049.11","5660104836584.23","5867099028996.74","5953570025342.17","6110049973297.91","6199209728911.75","5926602486546.1","6149225560686.23",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201213879447.487","202944483697.015","209732864776.828","212377996689.71","227023898830.065","242206999429.124","256251139920.828","277239129801.862","278048652393.228","286118218321.739","317169782254.554","321607257198.796","329433430901.717","358425354446.031","392713888870.632","411780702672.818","452288887160.246","466691530039.589","481587559592.897","456338299931.175","463652718592.09","495776937048.699","519458345820.246","545719872372.22","568452880578.868","607032486510.459","640792542127.391","645502807620.868","653984158615.097","661232579866.011","628454934154.65","653067090107.883",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067195.929","503521692862.146","543487677674.491","588091597641.289","622413803601.144","604704826243.565","638124986359.867","689883602459.331","716445355021.616","692190405307.751","686729030353.619","656452248351.554","584935157747.954","636626116266.938","694110738086.543","755551060091.098","816351398559.736","889885482455.565","925990210832.673","871185248000","959396223037.209","1016997908810.97","1006559234253.78","1030770242883.07","1004870951838","1032315583600.75","1010840035079.44","1039330591568.54","1012127189427.81","991875931195.231","893251375114.368","986133881445.537",
