Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025472682,2186758474,2315391348,2484593045,2688426606,2756904694,2789595753,2986175079,3045659222,3083365758,3318213058,3457444044,3424329647,3462712244,3714833218,3700533819,3742679415,3858579803,3929324195,3470238243,3375410652,3489053241,3452928445,3674945422,3674192822,3804392608,3884920800,4097906578,4313368592,4340759745,3533851585,4140702549
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.40931E+11,9.41202E+11,9.22952E+11,9.18616E+11,9.34924E+11,9.76828E+11,1.03004E+12,1.07442E+12,1.09442E+12,1.12462E+12,1.1631E+12,1.20597E+12,1.25342E+12,1.29487E+12,1.369E+12,1.45566E+12,1.55369E+12,1.6592E+12,1.73529E+12,1.74717E+12,1.83917E+12,1.91372E+12,1.95807E+12,2.04066E+12,2.12625E+12,2.19526E+12,2.25272E+12,2.31545E+12,2.37926E+12,2.43457E+12,2.36742E+12,2.47291E+12
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26890054382,29265058689,29678901146,33011757108,34780330056,39589169630,41143038133,49943751387,57116893447,57360414055,64675178731,68297470349,70158264545,71176481723,72785293848,74711922906,75600418109,78557606649,76710638230,60803041473
Africa Western and Central,AFW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75569E+11,5.82762E+11,5.97165E+11,5.9095E+11,5.90498E+11,6.03182E+11,6.31571E+11,6.58959E+11,6.82521E+11,6.93915E+11,7.18956E+11,7.56505E+11,8.27345E+11,8.72617E+11,9.4115E+11,9.95611E+11,1.04905E+12,1.10577E+12,1.17478E+12,1.24556E+12,1.33008E+12,1.39532E+12,1.46841E+12,1.55704E+12,1.64782E+12,1.69325E+12,1.70023E+12,1.74409E+12,1.79868E+12,1.85903E+12,1.84506E+12,1.9193E+12
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68234262573,68910709282,64887508619,49325266559,49985911144,57483797831,65269615958,70017508851,73302132733,74901211221,77189161771,80435736801,91427834245,94161526488,1.04472E+11,1.20174E+11,1.34055E+11,1.52836E+11,1.69907E+11,1.71369E+11,1.79697E+11,1.85933E+11,2.01811E+11,2.11801E+11,2.2201E+11,2.24096E+11,2.18315E+11,2.17987E+11,2.15118E+11,2.13612E+11,2.0165E+11,2.03868E+11
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15867113973,11423982242,10602927967,11616505502,12581008457,14257092339,15554487662,13855940086,15079339752,17023187829,18205655327,19715507240,20609905989,21749352973,22948757562,24217003264,25646450396,27180944080,29219526148,30199633601,31319115341,32116314027,32571480176,32897852120,33481607680,34224472940,35359007607,36703437483,38178680652,38975875700,37618879774,40822315903
Andorra,AND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15316E+12,2.20893E+12,2.31616E+12,2.37739E+12,2.44511E+12,2.51225E+12,2.62777E+12,2.74348E+12,2.88557E+12,2.94163E+12,3.12961E+12,3.18296E+12,3.20047E+12,3.3576E+12,3.64353E+12,3.84288E+12,4.06466E+12,4.24887E+12,4.48563E+12,4.50684E+12,4.71394E+12,4.86465E+12,5.14287E+12,5.27789E+12,5.44114E+12,5.6601E+12,5.8671E+12,5.95357E+12,6.11005E+12,6.19921E+12,5.9266E+12,6.14923E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01214E+11,2.02944E+11,2.09733E+11,2.12378E+11,2.27024E+11,2.42207E+11,2.56251E+11,2.77239E+11,2.78049E+11,2.86118E+11,3.1717E+11,3.21607E+11,3.29433E+11,3.58425E+11,3.92714E+11,4.11781E+11,4.52289E+11,4.66692E+11,4.81588E+11,4.56338E+11,4.63653E+11,4.95777E+11,5.19458E+11,5.4572E+11,5.68453E+11,6.07032E+11,6.40793E+11,6.45503E+11,6.53984E+11,6.61233E+11,6.28455E+11,6.53067E+11
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61383E+11,5.03522E+11,5.43488E+11,5.88092E+11,6.22414E+11,6.04705E+11,6.38125E+11,6.89884E+11,7.16445E+11,6.9219E+11,6.86729E+11,6.56452E+11,5.84935E+11,6.36626E+11,6.94111E+11,7.55551E+11,8.16351E+11,8.89885E+11,9.2599E+11,8.71185E+11,9.59396E+11,1.017E+12,1.00656E+12,1.03077E+12,1.00487E+12,1.03232E+12,1.01084E+12,1.03933E+12,1.01213E+12,9.91876E+11,8.93251E+11,9.86134E+11
